,fmales,army,house,econ
357,34,425,27,12
358,34,425,27,12
359,34,425,27,12
360,34,424,27,12
361,34,422,27,12
362,34,427,27,12
363,34,427,27,12
364,34,423,27,12
365,34,414,27,12
366,34,423,27,12
367,34,419,27,12
368,34,424,27,12
369,34,422,27,12
370,34,427,27,12
371,34,427,27,12
372,34,421,27,12
373,34,422,27,12
374,34,411,27,12
375,34,414,27,12
376,34,416,27,12
377,34,412,27,12
378,34,417,27,12
379,34,417,27,12
380,34,417,27,12
381,34,417,27,12
382,34,416,27,12
383,34,416,27,12
384,34,415,27,12
385,34,420,27,12
386,34,419,27,12
387,34,419,27,12
388,34,419,27,12
389,34,418,27,12
390,34,418,27,12
391,34,418,27,12
392,34,418,27,12
393,34,418,27,12
394,34,418,27,12
395,34,418,27,12
396,34,418,27,12
397,34,418,27,12
398,34,418,27,12
399,34,418,27,12
400,34,418,27,12
401,34,418,27,12
402,34,418,27,12
403,34,418,27,12
404,34,418,27,12
405,34,418,27,12
406,34,418,27,12
407,34,418,27,12
408,34,418,27,12
409,34,418,27,12
410,34,418,27,12
411,34,418,27,12
412,34,418,27,12
413,34,418,27,12
414,34,418,27,12
415,34,418,27,12
416,34,418,27,12
417,34,418,27,12
418,34,418,27,12
419,34,418,27,12
420,34,418,27,12
421,34,418,27,12
422,34,418,27,12
423,34,418,27,12
424,34,418,27,12
425,34,418,27,12
426,34,418,27,12
427,34,418,27,12
428,34,418,27,12
429,34,418,27,12
430,34,418,27,12
431,34,418,27,12
432,34,418,27,12
433,34,418,27,12
434,34,418,27,12
435,34,418,27,12
436,34,418,27,12
437,34,418,27,12
438,34,418,27,12
439,34,418,27,12
440,34,417,27,12
441,34,408,27,12
442,34,413,27,12
443,34,415,27,12
444,34,417,27,12
445,34,417,27,12
446,34,417,27,12
447,34,417,27,12
448,34,417,27,12
449,34,417,27,12
450,34,416,27,12
451,34,411,27,12
452,34,416,27,12
